"vehtipcod";"vehtipo"
"01";"Automóvil                     "
"02";"Pickup Clase A                "
"03";"Pickup Clase B                "
"04";"Jeep H / 4 Cil.               "
"05";"Jeep + 4 Cil.                 "
"06";"Camión + 10 Tn.               "
"07";"Camión 2/10 Tn.               "
"08";"Camión H/ 2 Tn.               "
"09";"Semirem. H/ 2 Tn.             "
"10";"Semirem. 2/10 Ton.            "
"11";"Semirem. + 10 Ton.            "
"12";"Acoplado H/10 Ton.            "
"13";"Acoplado + 10 Ton.            "
"14";"Micro-Omnibus                 "
"34";"Trac. Maqs. y Acop.           "
"35";"Tractor                       "
"41";"Moto 50 cc.                   "
"42";"Moto + 50 cc.                 "
"45";"Casa Rodante                  "
"52";"Automóvil Importado           "
"56";"Cuatriciclo                   "
"57";"Trailer                       "
"59";"Grúa                          "
"60";"Carretón                      "
